Timestamp,GT_t,Prediction,Latency_ms,Contamination_Ratio,Deviation_Score,Model_Prob
16083,1.0,1.0,15582,1.0,1.7228619164014078,0.5228109704071768
16084,1.0,1.0,15583,1.0,1.9330731990781016,0.5185362771531259
16085,1.0,0.0,15584,1.0,1.936996396992975,0.47092961869650546
16086,1.0,1.0,15585,1.0,1.9369400530158842,0.5252575763240599
16087,1.0,1.0,15586,1.0,1.937919441320268,0.521965185451972
16088,1.0,1.0,15587,1.0,1.9310567296568024,0.5210076801024008
16089,1.0,0.0,15588,1.0,1.8925820982450732,0.4708871452403627
16090,1.0,1.0,15589,1.0,1.8925148224421138,0.5263117823775474
16091,1.0,1.0,15590,1.0,1.8934268469286613,0.5236009624181527
16092,1.0,1.0,15591,1.0,1.888640863329501,0.5187612830410434
16093,1.0,0.0,15592,1.0,2.0702741667185025,0.4709531273059915
16094,1.0,1.0,15593,1.0,2.0814592902705416,0.526625588794685
16095,1.0,1.0,15594,1.0,2.0971621784672783,0.5282389215077733
16096,1.0,1.0,15595,1.0,2.091171801548234,0.518381703372313
16097,1.0,0.0,15596,1.0,2.0894841951942182,0.47096098265191183
16098,1.0,1.0,15597,1.0,2.0865595786545907,0.5266612369114915
16099,1.0,1.0,15598,1.0,1.7228619164014078,0.524690642581835
16100,1.0,1.0,15599,1.0,1.7138653428936916,0.5183896675495926
16101,1.0,0.0,15600,1.0,1.7228619164014072,0.4709675124817883
16102,1.0,1.0,15601,1.0,1.7228619164014078,0.5258416696878867
16103,1.0,1.0,15602,1.0,1.7228619164014078,0.5220053281381025
16104,1.0,1.0,15603,1.0,1.799776191832339,0.5182333730906689
16105,1.0,0.0,15604,1.0,1.8037535007493082,0.47096892871016904
16106,1.0,1.0,15605,1.0,1.8036643612946113,0.5258191813217216
16107,1.0,1.0,15606,1.0,1.804441658145486,0.5219201705771451
16108,1.0,1.0,15607,1.0,1.7978375283283181,0.5184011455258674
16109,1.0,0.0,15608,1.0,1.7228619164014072,0.47096378558951185
16110,1.0,1.0,15609,1.0,1.7228619164014078,0.5261964312381463
16111,1.0,1.0,15610,1.0,1.7228619164014078,0.5214929332967216
16112,1.0,1.0,15611,1.0,1.813379593177991,0.5181352720622
16113,1.0,0.0,15612,1.0,1.8173334223507378,0.47098916398698726
16114,1.0,1.0,15613,1.0,1.8199924225840929,0.5260066779405907
16115,1.0,1.0,15614,1.0,1.8287387952846128,0.523218029544499
