Timestamp,GT_t,Prediction,Latency_ms,Contamination_Ratio,Deviation_Score,Model_Prob
24222,0.0,1.0,23712,0.0,50989.8060625177,0.5394216258904712
24223,0.0,1.0,23713,0.0,51070.616318322776,0.5394216258904712
24224,0.0,1.0,23714,0.0,51070.616318322776,0.5394216258904712
24225,0.0,1.0,23715,0.0,51070.616318322776,0.5394216258904712
24226,0.0,1.0,23716,0.0,51070.616318322776,0.5394216258904712
24227,0.0,1.0,23717,0.0,51070.616318322776,0.5394216258904712
24228,0.0,1.0,23718,0.0,51070.616318322776,0.5394216258904712
24229,0.0,1.0,23719,0.0,51070.616318322776,0.5394216258904712
24230,0.0,1.0,23720,0.0,51070.616318322776,0.5394216258904712
24231,0.0,1.0,23721,0.0,51070.616318322776,0.5394216258904712
24232,0.0,1.0,23722,0.0,51070.616318322776,0.5394216258904712
24233,0.0,1.0,23723,0.0,50978.84873969668,0.5394216258904712
24234,0.0,1.0,23724,0.0,50978.84873969668,0.5394216258904712
24235,0.0,1.0,23725,0.0,50978.84873969668,0.5394216258904712
24236,0.0,1.0,23726,0.0,50978.84873969668,0.5394216258904712
24237,0.0,1.0,23727,0.0,50904.32393448244,0.5394216258904712
24238,0.0,1.0,23728,0.0,50904.32393448244,0.5394216258904712
24239,0.0,1.0,23729,0.0,50913.10480277052,0.5394216258904712
24240,0.0,1.0,23730,0.0,50913.10480277052,0.5394216258904712
24241,0.0,1.0,23731,0.0,50913.10480277052,0.5394216258904712
24242,0.0,1.0,23732,0.0,50913.10480277052,0.5394216258904712
24243,0.0,1.0,23733,0.0,50913.10480277052,0.5394216258904712
24244,0.0,1.0,23734,0.0,50913.10480277052,0.5394216258904712
24245,0.0,1.0,23735,0.0,50913.10480277052,0.5394216258904712
24246,0.0,1.0,23736,0.0,50913.10480277052,0.5394216258904712
24247,0.0,1.0,23737,0.0,50944.044229708656,0.5394216258904712
24248,0.0,1.0,23738,0.0,50944.044229708656,0.5394216258904712
24249,0.0,1.0,23739,0.0,50944.044229708656,0.5394216258904712
24250,0.0,1.0,23740,0.0,50944.044229708656,0.5394216258904712
24251,0.0,1.0,23741,0.0,50944.044229708656,0.5394216258904712
24252,0.0,1.0,23742,0.0,50944.044229708656,0.5394216258904712
24253,0.0,1.0,23743,0.0,50944.044229708656,0.5394216258904712
24254,0.0,1.0,23744,0.0,50944.044229708656,0.5394216258904712
24255,0.0,1.0,23745,0.0,51047.05056924194,0.5394216258904712
24256,0.0,1.0,23746,0.0,51047.05056924194,0.5394216258904712
24257,0.0,1.0,23747,0.0,51047.05056924194,0.5394216258904712
24258,0.0,1.0,23748,0.0,51047.05056924194,0.5394216258904712
24259,0.0,1.0,23749,0.0,51047.05056924194,0.5394216258904712
24260,0.0,1.0,23750,0.0,51047.05056924194,0.5394216258904712
24261,0.0,1.0,23751,0.0,51047.05056924194,0.5394216258904712
24262,0.0,1.0,23752,0.0,51047.05056924194,0.5394216258904712
24263,0.0,1.0,23753,0.0,51047.05056924194,0.5394216258904712
24264,0.0,1.0,23754,0.0,51047.05056924194,0.5394216258904712
24265,0.0,1.0,23755,0.0,50978.39843875883,0.5394216258904712
24266,0.0,1.0,23756,0.0,50978.39843875883,0.5394216258904712
24267,0.0,1.0,23757,0.0,50978.39843875883,0.5394216258904712
24268,0.0,1.0,23758,0.0,50978.39843875883,0.5394216258904712
24269,0.0,1.0,23759,0.0,50876.14260078863,0.5394216258904712
24270,0.0,1.0,23760,0.0,51050.65297674474,0.5394216258904712
24271,0.0,1.0,23761,0.0,51050.65297674474,0.5394216258904712
24272,0.0,1.0,23762,0.0,51050.65297674474,0.5394216258904712
24273,0.0,1.0,23763,0.0,51050.65297674474,0.5394216258904712
24274,0.0,1.0,23764,0.0,51050.65297674474,0.5394216258904712
24275,0.0,1.0,23765,0.0,51050.65297674474,0.5394216258904712
24276,0.0,1.0,23766,0.0,51050.65297674474,0.5394216258904712
24277,0.0,1.0,23767,0.0,51050.65297674474,0.5394216258904712
24278,0.0,1.0,23768,0.0,51050.65297674474,0.5394216258904712
24279,0.0,1.0,23769,0.0,51050.65297674474,0.5394216258904712
24280,0.0,1.0,23770,0.0,51037.613012086156,0.5394216258904712
24281,0.0,1.0,23771,0.0,51037.613012086156,0.5394216258904712
24282,0.0,1.0,23772,0.0,51037.613012086156,0.5394216258904712
24283,0.0,1.0,23773,0.0,51037.613012086156,0.5394216258904712
24284,0.0,1.0,23774,0.0,51025.60498707681,0.5394216258904712
24285,0.0,1.0,23775,0.0,51025.60498707681,0.5394216258904712
24286,0.0,1.0,23776,0.0,51025.60498707681,0.5394216258904712
24287,0.0,1.0,23777,0.0,51025.60498707681,0.5394216258904712
24288,0.0,1.0,23778,0.0,51025.60498707681,0.5394216258904712
24289,0.0,1.0,23779,0.0,51025.60498707681,0.5394216258904712
24290,0.0,1.0,23780,0.0,51025.60498707681,0.5394216258904712
24291,0.0,1.0,23781,0.0,51025.60498707681,0.5394216258904712
24292,0.0,1.0,23782,0.0,50945.77038330375,0.5394216258904712
24293,0.0,1.0,23783,0.0,50945.77038330375,0.5394216258904712
24294,0.0,1.0,23784,0.0,50945.77038330375,0.5394216258904712
24295,0.0,1.0,23785,0.0,50945.77038330375,0.5394216258904712
24296,0.0,1.0,23786,0.0,50945.77038330375,0.5394216258904712
24297,0.0,1.0,23787,0.0,50945.77038330375,0.5394216258904712
24298,0.0,1.0,23788,0.0,50945.77038330375,0.5394216258904712
