file_name,window_idx,f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,label
dados_spectre.txt,1293,0.000632,0.004512,0.189127,0.299629,0.200000,0.000671,0.004514,0.188455,0.299627,0.200000,0.000588,0.004544,0.188445,0.299629,0.400000,0.000605,0.004514,0.188792,0.299626,0.200000,0.000691,0.004486,0.187886,0.299628,0.200000,1.0
dados_spectre.txt,1294,0.000671,0.004514,0.188455,0.299627,0.200000,0.000588,0.004544,0.188445,0.299629,0.400000,0.000605,0.004514,0.188792,0.299626,0.200000,0.000691,0.004486,0.187886,0.299628,0.200000,0.000691,0.004497,0.185504,0.299629,0.200000,1.0
dados_spectre.txt,1295,0.000588,0.004544,0.188445,0.299629,0.400000,0.000605,0.004514,0.188792,0.299626,0.200000,0.000691,0.004486,0.187886,0.299628,0.200000,0.000691,0.004497,0.185504,0.299629,0.200000,0.000583,0.004520,0.188889,0.299630,0.400000,1.0
dados_spectre.txt,1296,0.000605,0.004514,0.188792,0.299626,0.200000,0.000691,0.004486,0.187886,0.299628,0.200000,0.000691,0.004497,0.185504,0.299629,0.200000,0.000583,0.004520,0.188889,0.299630,0.400000,0.000610,0.004516,0.189204,0.299627,0.200000,1.0
dados_spectre.txt,1297,0.000691,0.004486,0.187886,0.299628,0.200000,0.000691,0.004497,0.185504,0.299629,0.200000,0.000583,0.004520,0.188889,0.299630,0.400000,0.000610,0.004516,0.189204,0.299627,0.200000,0.000612,0.004521,0.188786,0.299629,0.200000,1.0
dados_spectre.txt,1298,0.000691,0.004497,0.185504,0.299629,0.200000,0.000583,0.004520,0.188889,0.299630,0.400000,0.000610,0.004516,0.189204,0.299627,0.200000,0.000612,0.004521,0.188786,0.299629,0.200000,0.000703,0.004549,0.187458,0.299629,0.400000,1.0
dados_spectre.txt,1299,0.000583,0.004520,0.188889,0.299630,0.400000,0.000610,0.004516,0.189204,0.299627,0.200000,0.000612,0.004521,0.188786,0.299629,0.200000,0.000703,0.004549,0.187458,0.299629,0.400000,0.000602,0.004518,0.188985,0.299627,0.200000,1.0
dados_spectre.txt,1300,0.000610,0.004516,0.189204,0.299627,0.200000,0.000612,0.004521,0.188786,0.299629,0.200000,0.000703,0.004549,0.187458,0.299629,0.400000,0.000602,0.004518,0.188985,0.299627,0.200000,0.000637,0.004516,0.189121,0.299627,0.200000,1.0
dados_spectre.txt,1301,0.000612,0.004521,0.188786,0.299629,0.200000,0.000703,0.004549,0.187458,0.299629,0.400000,0.000602,0.004518,0.188985,0.299627,0.200000,0.000637,0.004516,0.189121,0.299627,0.200000,0.000609,0.004519,0.188607,0.299629,0.200000,1.0
dados_spectre.txt,1302,0.000703,0.004549,0.187458,0.299629,0.400000,0.000602,0.004518,0.188985,0.299627,0.200000,0.000637,0.004516,0.189121,0.299627,0.200000,0.000609,0.004519,0.188607,0.299629,0.200000,0.000635,0.004558,0.188033,0.299630,0.400000,1.0
dados_spectre.txt,1303,0.000602,0.004518,0.188985,0.299627,0.200000,0.000637,0.004516,0.189121,0.299627,0.200000,0.000609,0.004519,0.188607,0.299629,0.200000,0.000635,0.004558,0.188033,0.299630,0.400000,0.000616,0.004494,0.189116,0.299627,0.200000,1.0
dados_spectre.txt,1304,0.000637,0.004516,0.189121,0.299627,0.200000,0.000609,0.004519,0.188607,0.299629,0.200000,0.000635,0.004558,0.188033,0.299630,0.400000,0.000616,0.004494,0.189116,0.299627,0.200000,0.000654,0.004518,0.188480,0.299629,0.200000,1.0
dados_spectre.txt,1305,0.000609,0.004519,0.188607,0.299629,0.200000,0.000635,0.004558,0.188033,0.299630,0.400000,0.000616,0.004494,0.189116,0.299627,0.200000,0.000654,0.004518,0.188480,0.299629,0.200000,0.000623,0.004518,0.188612,0.299626,0.200000,1.0
dados_spectre.txt,1306,0.000635,0.004558,0.188033,0.299630,0.400000,0.000616,0.004494,0.189116,0.299627,0.200000,0.000654,0.004518,0.188480,0.299629,0.200000,0.000623,0.004518,0.188612,0.299626,0.200000,0.000610,0.004564,0.188446,0.299631,0.400000,1.0
dados_spectre.txt,1307,0.000616,0.004494,0.189116,0.299627,0.200000,0.000654,0.004518,0.188480,0.299629,0.200000,0.000623,0.004518,0.188612,0.299626,0.200000,0.000610,0.004564,0.188446,0.299631,0.400000,0.000618,0.004522,0.188987,0.299628,0.200000,1.0
dados_spectre.txt,1308,0.000654,0.004518,0.188480,0.299629,0.200000,0.000623,0.004518,0.188612,0.299626,0.200000,0.000610,0.004564,0.188446,0.299631,0.400000,0.000618,0.004522,0.188987,0.299628,0.200000,0.000676,0.004502,0.187528,0.299628,0.200000,1.0
dados_spectre.txt,1309,0.000623,0.004518,0.188612,0.299626,0.200000,0.000610,0.004564,0.188446,0.299631,0.400000,0.000618,0.004522,0.188987,0.299628,0.200000,0.000676,0.004502,0.187528,0.299628,0.200000,0.000660,0.004508,0.188154,0.299628,0.200000,1.0
