CORE_ID,TIMESTAMP,CPU_CYCLES,INSTRUCTIONS,CACHE_MISSES,BRANCH_MISSES,LABEL
0,0,119854037,30175919,584998,6847,1.0
0,0,119852914,30415278,579055,6834,1.0
0,0,119852785,30373349,579226,6824,1.0
0,0,119853391,30403349,579030,6835,1.0
0,0,119853919,30182167,585157,6843,1.0
0,0,119852841,30405729,579000,6845,1.0
0,0,119853569,30364862,579103,6835,1.0
0,0,119852916,30429256,578932,6839,1.0
0,0,119853980,30175806,585040,6855,1.0
0,0,119852819,30429326,579011,6845,1.0
0,0,119853550,30374079,579248,6840,1.0
0,0,119852756,30426176,578996,6838,1.0
0,0,119853165,30174826,585039,6836,1.0
0,0,119853554,30409268,579118,6855,1.0
0,0,119852862,30367487,579121,6833,1.0
0,0,119852581,30405571,579104,6829,1.0
0,0,119853372,30174762,584967,6849,1.0
0,0,119853536,30413532,579047,6837,1.0
0,0,119852752,30366721,579125,6828,1.0
0,0,119853511,30446512,579198,6832,1.0
0,0,119853248,30177346,585036,6850,1.0
0,0,119853455,30382673,579284,6837,1.0
0,0,119852843,30368831,579127,6836,1.0
0,0,119853491,30424286,579034,6846,1.0
0,0,119854018,30183365,585101,6855,1.0
0,0,119853052,30440440,579019,6840,1.0
0,0,119853449,30366893,579148,6835,1.0
0,0,119852802,30382452,579128,6840,1.0
0,0,119853896,30174692,585040,6845,1.0
0,0,119852839,30371312,579058,6827,1.0
0,0,119853431,30371773,579185,6826,1.0
0,0,119852848,30383157,579121,6837,1.0
0,0,119853284,30178242,585060,6867,1.0
0,0,119852918,30382032,579179,6829,1.0
0,0,119853603,30364821,579096,6820,1.0
0,0,119852773,30470964,578876,6842,1.0
0,0,119853466,30173519,584966,6842,1.0
0,0,119853623,30429232,579027,6853,1.0
0,0,119852569,30371193,579193,6838,1.0
0,0,119853612,30421345,579082,6841,1.0
0,0,119853339,30175841,585032,6834,1.0
0,0,119853526,30381681,579187,6841,1.0
0,0,119852931,30369715,579223,6834,1.0
0,0,119853531,30412442,578935,6838,1.0
0,0,119854085,30177677,585011,6859,1.0
0,0,119852749,30441253,578990,6840,1.0
0,0,119852748,30367026,579153,6832,1.0
0,0,119853540,30433182,579087,6832,1.0
0,0,119854134,30269215,582026,6844,1.0
0,0,119852592,30463854,579117,6830,1.0
0,0,119853489,30368208,579103,6827,1.0
0,0,119854179,30175213,584979,6855,1.0
0,0,119852887,30375681,579288,6852,1.0
0,0,119852713,30438843,579049,6834,1.0
0,0,119853618,30365654,579103,6840,1.0
0,0,119853803,30175535,584988,6841,1.0
0,0,119852843,30367645,579169,6837,1.0
0,0,119853258,30417616,579005,6829,1.0
0,0,119852885,30374360,579334,6835,1.0
0,0,119854112,30176020,585007,6850,1.0
0,0,119852687,30367393,579156,6844,1.0
0,0,119853466,30412606,579160,6848,1.0
0,0,119852702,30369335,579213,6831,1.0
0,0,119853307,30181093,585124,6839,1.0
0,0,119853657,30365320,579103,6816,1.0
0,0,119852855,30404642,578949,6843,1.0
0,0,119852804,30366144,579129,6846,1.0
0,0,119853387,30178403,585045,6850,1.0
0,0,119853558,30366080,579103,6839,1.0
0,0,119852664,30382715,579208,6829,1.0
0,0,119853401,30369256,579212,6839,1.0
0,0,119853129,30175525,585041,6846,1.0
0,0,119853615,30375575,579324,6830,1.0
0,0,119852824,30433699,578953,6831,1.0
0,0,119853612,30366046,579128,6848,1.0
0,0,119853950,30171783,584898,6842,1.0
0,0,119852797,30365856,579115,6843,1.0
0,0,119852787,30449857,578988,6835,1.0
0,0,119853507,30370714,579225,6843,1.0
0,0,119854002,30179137,585084,6838,1.0
0,0,119852791,30374850,579266,6829,1.0
0,0,119853511,30463433,578936,6843,1.0
0,0,119852861,30367177,579132,6837,1.0
0,0,119853221,30182368,585163,6846,1.0
0,0,119852914,30368485,579191,6847,1.0
0,0,119853430,30450064,578918,6835,1.0
0,0,119852766,30375995,579360,6841,1.0
0,0,119853118,30175973,585000,6833,1.0
