TIMESTAMP,CPU_CYCLES,INSTRUCTIONS,CACHE_MISSES,BRANCH_MISSES,LABEL
21:09:15:427,120001150,49558589,2404895,120,0
21:09:15:627,120000475,49855683,2390193,105,0
21:09:15:827,120001165,49654757,2398323,126,0
21:09:16:027,120000805,49591640,2397850,127,0
21:09:16:227,120001077,49887597,2387280,107,0
21:09:16:427,120000947,49567249,2404721,109,0
21:09:16:627,120000792,49707757,2387043,104,0
21:09:16:827,120001048,49801164,2400187,114,0
21:09:17:027,120000708,49746604,2399353,109,0
21:09:17:227,120001096,49794443,2392776,106,0
21:09:17:627,120000591,49841164,2392374,111,0
21:09:17:827,120001386,49735613,2403387,118,0
21:09:18:027,120000514,49806201,2397085,118,0
21:09:18:227,120001277,49700974,2391280,111,0
21:09:18:427,120000450,49790419,2407576,121,0
21:09:18:627,120000480,49787979,2388399,114,0
21:09:18:827,120000506,49486424,2396163,109,0
21:09:19:027,120000954,49741410,2392227,118,0
21:09:19:227,120001395,49807923,2399193,118,0
21:09:19:427,120000712,49668990,2399330,123,0
21:09:19:627,120001415,49819877,2386297,113,0
21:09:19:827,120001215,49626557,2411686,108,0
21:09:20:027,120001342,49984303,2388456,115,0
21:09:20:227,120001843,49589783,2407629,112,0
21:09:20:427,120000866,49765555,2386846,104,0
21:09:20:627,120001402,49705589,2396530,112,0
21:09:20:827,120001919,49493494,2396628,108,0
21:09:21:027,120000999,49915242,2385370,119,0
21:09:21:227,120001120,49668278,2411046,112,0
21:09:21:427,120000979,49743618,2386581,112,0
21:09:21:627,120001361,49708869,2394568,118,0
21:09:21:827,120000839,49644314,2402446,117,0
21:09:22:027,120000996,49808911,2382139,116,0
21:09:22:227,120001277,49649219,2411600,120,0
21:09:22:427,120000856,49955553,2388884,116,0
21:09:22:627,120001613,49557162,2399497,118,0
21:09:22:827,120000971,49580558,2395496,109,0
21:09:23:027,120001305,49871749,2386768,110,0
21:09:23:227,120001350,49523372,2399632,114,0
21:09:23:427,120000733,49687773,2391431,118,0
21:09:23:627,120001110,49730426,2385468,114,0
21:09:23:827,120001185,49571646,2406055,120,0
21:09:24:027,120000659,49922614,2388390,118,0
21:09:24:227,120001061,49627898,2404263,113,0
21:09:24:427,120000694,49699100,2392686,114,0
21:09:24:627,120001397,49851964,2400069,108,0
21:09:24:827,120000648,49709486,2400671,114,0
21:09:25:027,120001267,49769787,2384820,104,0
21:09:25:227,120001223,49593007,2408345,108,0
21:09:25:427,120000745,49838699,2387320,111,0
21:09:25:627,120001159,49653948,2398825,111,0
21:09:25:827,120000470,49597877,2396866,114,0
21:09:26:027,120001517,49869777,2386471,112,0
21:09:26:228,120001694,49548959,2403482,110,0
21:09:26:428,120000750,49695194,2389863,114,0
21:09:26:628,120001354,49731157,2389801,115,0
21:09:26:828,120001248,49573178,2405337,112,0
21:09:27:228,120000506,257849163,90967,163,0
21:09:27:428,120001501,232157866,360538,150,0
21:09:27:628,120001401,49553146,2403086,111,0
21:09:27:828,120000920,49929471,2390287,114,0
21:09:28:028,120001276,49710713,2412120,107,0
21:09:28:228,120000791,49695842,2386088,113,0
21:09:28:428,120001405,49775635,2398036,107,0
21:09:28:628,120000639,49558182,2399588,130,0
21:09:28:828,120001212,49908777,2384257,115,0
21:09:29:028,120001666,49529097,2401003,104,0
21:09:29:228,120000868,49825134,2396243,107,0
21:09:29:428,120000928,49779185,2402783,120,0
21:09:29:628,120000922,49766889,2396969,118,0
21:09:29:828,120001224,49716729,2387919,112,0
21:09:30:028,120001243,49551612,2403617,110,0
21:09:30:228,120000841,49843288,2387351,114,0
21:09:30:428,120001505,49694125,2404219,113,0
21:09:30:628,120000510,49644799,2393197,107,0
21:09:30:828,120000993,49925898,2401798,111,0
21:09:31:028,120000594,49570237,2397956,111,0
21:09:31:228,120001427,49895795,2385476,110,0
21:09:31:428,120001306,49565971,2405631,114,0
21:09:31:628,120000863,49934592,2392298,112,0
21:09:31:828,120001054,49590208,2397816,118,0
21:09:32:028,120000764,49588444,2397746,122,0
21:09:32:228,120001378,49875621,2385744,120,0
21:09:32:428,120001222,49507541,2398627,111,0
21:09:32:628,120000861,49844338,2395642,115,0
21:09:32:828,120001308,49723988,2399046,111,0
21:09:33:028,120000632,49564716,2397655,109,0
21:09:33:228,120001270,49943272,2390263,117,0
21:09:33:428,120001108,49528337,2401397,109,0
21:09:33:628,120000666,49789460,2389638,120,0
21:09:33:828,120001598,49798693,2407413,106,0
21:09:34:028,120000899,49722507,2392305,113,0
21:09:34:228,120001256,49835165,2400714,109,0
21:09:34:428,120000795,49925050,2401473,117,0
21:09:34:628,120001166,49682887,2397582,107,0
21:09:34:828,120000927,49683058,2400394,117,0
